ID,dyu,fr
ID_18897661270129,a bi ji min na,il boit de l’eau.
ID_18479132727846,a le dalakolontɛ lon bɛ.,il se plaint toujours.
ID_18164131280307,mun? fɛn dɔ.,quoi ? quelque chose.
ID_18344573728152,o bɛ bi bɔra fo gubeta.,tous sortent excepté gubetta.
ID_18127342282717,a ale lo bi da bugɔ la!,ah ! c’est lui… il sonne…
ID_18113952728392,e nafa t'a ra.,et sans rapport.
ID_17349291285068,sanu baa de bi n bolo,j'ai suffisamment d'or.
ID_18045793286189,onhon mɛ laɲini jumanan,oui ; mais dans quel but ?
ID_17365482.72873,kamele baba,de grands gars forts.
ID_18626271288363,duguden dɔ minɛ na.,un civil a été capturé?!
ID_17838624729012,sigi yɔrɔ dɔ,d’autres chaises.
ID_17545233729132,surukuwuru binaani ni mugan.,quarante-sept renards.
ID_18588255292452,jɔn le ka ɲigɛn ni fa?,qui a bouché les toilettes?
ID_18771168293544,awɔ aw be n gwɛnna?,"alors, vous me chassez ?"
ID_17358766294672,livru nin kadi nn ye,j'aime ce livre.
ID_18056296295783,a be bɔ a kɔnɔ,elle sort par le fond.
ID_18562693296877,kulɛr sabani sa.,achète les trois couleurs.
ID_17408710297971,n filila.,j'ai fait une erreur.
ID_18330079729949,jona fɛnɛn tɛ.,surtout pas trop tôt.
ID_18065183300677,a be nne fana lasiran.,"et moi, ça me fait des peurs…"
ID_18053308730204,ni bonni kaɲi dɛ.,quelle jolie maison !
ID_18091615303226,a bɔra la.,il s’en est tiré.
ID_17452572304394,jɔn le ka kuran faga ?,qui a éteint la lumière ?
ID_18828129730554,a te seka kè ka tèmè ni kan,il ne peut pas faire plus.
ID_19424558730663,a be faransi,il est présent en france.
ID_19684032307818,a tun be basikɛti zuela.,il pratiquait le baseball.
ID_18863346309175,fama k'a kun wili,le commissaire lève la tête.
ID_18438803310438,an bi na don suu fɛ,nous rentrerons dans la nuit.
ID_18021338731152,i ka kɛ ka ɲɛ tuguni.,t’as encore bien fait…
ID_18350625312727,n t'a fɛ.,je ne veux pas !…
ID_17364833314045,an siranna.,nous avions eu peur.
ID_17353731731516,zuɛri binaani.,une vingtaine de joueurs.
ID_18469703316234,a ka kan ka maloya san!,vous devriez avoir honte.
ID_17341383731731,nɛnɛ be yi,le temps est froid.
ID_17333168318392,jii be yi,il y a de l'eau ?
ID_17368445325318,a lɔni le,elle est debout.
ID_17359315326574,i be bolora bara juman le kɛra,quel métier faites-vous ?
ID_18487324327714,deni ɲakisɛ ye bulalaman ye,cet enfant a les yeux bleus.
ID_18021720329206,a kɛ cogo le,c’est l’habitude.
ID_18419287330596,nin bɛ be tumadɔ tan,tout cela demande du temps.
ID_19283262.73319,muso kuma le kad'a ye.,la femme est son sujet favori.
ID_19469027733304,ni tununa.,celle-ci a disparu.
ID_17976495334116,ta ka bɔ yɔrɔ ni nan n bi nana fani don.,"va-t'en, je vais m'habiller."
ID_17379526335181,i laanibala ko a bi na diya n ye wa,tu es sûr qu'on aimerait.
ID_19704320336268,o b'a kunko ye,à ses risques et périls...
