ID,dyu,fr
ID_17345911362699,an kelen duron le tun be yi,0
ID_173626847.3381,o ka papiye farana.,0
ID_17704632382547,n tɔrɔla kɔ tuguni,0
ID_19793499384156,i tun b'a daminɛ tan kɛ.,0
ID_17802727385575,a kɛra ka ban.,0
ID_18445084338676,filaburu binkɛnɛman djalamani,0
ID_17850085388102,a k'a fo drɔn k'a ka taga.,0
ID_19566302390136,ɔnhɔn tile biseegi la.,0
ID_17515367391652,a ka di' ye wa,0
ID_19966078393023,a ka duguba bi mambuwe.,0
ID_17910778420575,ni ka mobili.,0
ID_17735699421931,dɔnidɔni a b'a yɛrɛ gwan.,0
ID_17813760423166,a be bɔra ni sevali ye.,0
ID_18269245.34243,a bɔra ni soo te wangɛ la,0
ID_18405885425448,bon bisaba ni kelen.,0
ID_17319140426507,an be bara la.,0
ID_19613786342747,a be tukɔnɔ,0
ID_17391975342844,djaa o bi taga kɛpila,0
ID_17445758429916,sisɛfankili tan ni fila filɛ.,0
ID_17355066431008,jɔn lo kaɲi ka zuwe,0
ID_18920222432338,na ni fila walima saaba,0
ID_18436971433452,mɔgɔ bisaba.,0
ID_17463529434422,a be ni kɛ ne ye lon bɛ.,0
ID_17354760343547,o tun m'a lamɛ.,0
ID_18272816343653,barka be ala ye.,0
ID_19137424437517,ko n ye worola,0
ID_18459989438482,an b'an ka sɛbɛ kalan na.,0
ID_18077582439786,aw furula wa?,0
ID_17374000440788,mɔgɔ lɔnniw.,0
ID_18797883441765,a ye fɛn ni bila dugukolo kan.,0
ID_17358254344294,mobilideni wulemaw.,0
ID_17447277443925,yan breton kan le bi fɔla,0
ID_17826253444936,n yala a kununa sinɔgɔ la wa,0
ID_17404570344592,mongal sabalini de dɛ,0
ID_17378625.34469,o le cɔ,0
ID_18463134447871,misel na na da ɲɛlɛ a ye,0
ID_173554067.3449,tuma juma aw bi na aw labɛn?,0
ID_18665907450058,i ye taga jona,0
ID_18750338451047,a be tagala ni jidili ye,0
ID_17483373452082,n dalebala k'a a tun diala o ye,0
ID_17326442453307,a ye pɛntiri son kelen tà,0
ID_18111242454418,ka na taga,0
ID_18759562455455,deen be kɔrɔbayala,0
ID_17313091456395,n bi sinaɲɔgɔya ni lo ɲiningala.,0
ID_17927866457532,hɛrve b'a mako donna foro la..,0
